xpath,table,form
/edgarSubmission/headerData/filerInfo/filer/successorFileNumber,1-z,1-Z
/edgarSubmission/headerData/coIssuerInfo/co-filer/coIssuerCredentials/ccc,1-z,1-Z
/edgarSubmission/headerData/coIssuerInfo/co-filer/coIssuerCredentials/cik,1-z,1-Z
/edgarSubmission/headerData/coIssuerInfo/co-filer/fileNumber,1-z,1-Z
/edgarSubmission/documents/document/conformedName,form_144,144
/edgarSubmission/documents/document/contents,form_144,144
/edgarSubmission/documents/document/conformedDocumentType,form_144,144
/edgarSubmission/documents/document/description,form_144,144
/edgarSubmission/headerData/filerInfo/notifications/notificationEmailAddress,form_144,144
/edgarSubmission/documents/document/conformedName,form_144,144/A
/edgarSubmission/documents/document/contents,form_144,144/A
/edgarSubmission/documents/document/conformedDocumentType,form_144,144/A
/edgarSubmission/documents/document/description,form_144,144/A
/ownershipDocument/documentType/noSecuritiesOwned,form345,3
/ownershipDocument/derivativeTable/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/ownershipNature/directOrIndirectOwnership/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/ownershipNature/directOrIndirectOwnership/value,form345_derivative_table_misc,3
/ownershipDocument/derivativeTable/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHol/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHol/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_table_misc,3
/ownershipDocument/derivativeTable/deriv/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurity/value,form345_derivative_holding,3
/ownershipDocument/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_security,3
/ownershipDocument/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_security,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHol/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercis/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underl/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/val,form345_derivative_holding,3
/ownershipDocument/nonDerivativeSecurity/tra/transactionShares/value,form345_non_derivative_security,3
/ownershipDocument/ownerSignature/s,form345_owner_signature,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/conversionOrExercisePrice/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/expirationDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/ownershipNature/directOrIndirectOwnership/value,form345_derivative_security,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_security,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/conversionOrExercisePrice/value,form345_derivative_security,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/exerciseDate/value,form345_derivative_security,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/expirationDate/value,form345_derivative_security,3
/ownershipDocument/derivativeSecurity/derivativeSecurity/securityTitle/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/ownershipNature/natureOfOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/ownershipNature/natureOfOwnership/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnershi/footnoteId/@id,form345_non_derivative_holding,3
/ownershipDocument/derivativeHolding/securityTitle/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriva/ownershipNature/directOrIndirectOwnership/value,form345_derivative_table_misc,3
/ownershipDocument/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTable/non/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/non/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/nonDer/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/nonDer/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_table_misc,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_table_misc,3
/ownershipDocument/d/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/securityTitle/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/securityTitle/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/exerciseDate/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriv/ownershipNature/natureOfOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriva/underlyingSecurity/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/deriva/underlyingSecurity/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/n/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/n/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivati/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivati/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivati/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnershi/value,form345_derivative_holding,3
/ownershipDocument/footnote/footnote/@id,form345_footnote,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnershi/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDat/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/d/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/deriv/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeSecurity/footnotes/footnote/@id,form345_footnote,3
/ownershipDocument/derivativeT/derivativeHolding/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/exerciseDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeT/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/conversionOrExercisePrice/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/expirationDate/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/securityTitle/value,form345_derivative_holding,3
/ownershipDocument/n/nonDerivativeHolding/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivati/nonDerivativeHolding/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeHolding/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityShare/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDa/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecuritySh/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityT/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/securityTitl/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDat/value,form345_derivative_holding,3
/ownershipDocument/footnote/footnote,form345_footnote,3
/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecuritySha/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecu/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecu/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/securityTitle/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDa/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurit/value,form345_derivative_holding,3
/ownershipDocument/derivativeSecurity/securityTitl/value,form345_derivative_security,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTi/value,form345_non_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/ownershipN/directOrIndirectOwnership/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecur/value,form345_derivative_holding,3
/ownershipDocument/nonDerivativeSecurity/transactionA/transactionShares/value,form345_non_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndi/footnoteId/@id,form345_derivative_holding,3
/ownershipDocument/nonDerivativeSecurity/transactionAmounts/transactio/value,form345_non_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndi/value,form345_derivative_holding,3
/ownershipDocument/ownerSignature/signatureDat,form345_owner_signature,3
/ownershipDocument/derivativeTable/derivativeHolding/expirati/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/valu,form345_derivative_holding,3
/ownershipDocument/derivativeSecurity/ownershi/directOrIndirectOwnership/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/securit/value,form345_derivative_holding,3
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securit/value,form345_non_derivative_holding,3
/ownershipDocument/ownerSigna/signatureDate,form345_owner_signature,3
/ownershipDocument/ownerSigna/signatureName,form345_owner_signature,3
/ownershipDocument/derivativeTable/derivativeHolding/expirat/value,form345_derivative_holding,3
/ownershipDocument/derivativeTab/derivativeHolding/expirationD/value,form345_derivative_holding,3
/ownershipDocument/ownerSign/signatureDate,form345_owner_signature,3
/ownershipDocument/ownerSign/signatureName,form345_owner_signature,3
/ownershipDocument/derivativeSecurity/footnotes/footnote,form345_derivative_footnote,3
/ownershipDocument/derivativeSecurity/ownerSignature/signatureDate,form345_derivative_table_signature,3
/ownershipDocument/derivativeSecurity/ownerSignature/signatureName,form345_derivative_table_signature,3
/ownershipDocument/derivativeSecurity/ownersh/directOrIndirectOwnership/value,form345_derivative_security,3
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOr/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underl/underlyingSecurityShares/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/underl/underlyingSecurityTitle/value,form345_derivative_holding,3
/ownershipDocument/derivativeTable/derivativeHolding/exer/footnoteId/@id,form345_derivative_holding,3
